graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
erdos_renyi,40,40,152,5,random,23 25 34 39 38,12.5,11.075,0.6486090775988287,0.0011033000191673636,1,0
erdos_renyi,40,40,152,5,degree,33 3 15 17 9,17.9,18.725,1.0966325036603222,0.0014923999551683664,1,0
erdos_renyi,40,40,152,5,pagerank,25 3 15 33 24,17.4,16.85,0.9868228404099562,0.001478999969549477,1,0
erdos_renyi,40,40,152,5,greedy,15 17 37 11 10,19.95,17.075,1.0,0.25539609999395907,191,0
erdos_renyi,40,40,152,5,celf,17 33 0 3 14,19.9,19.45,1.1390922401171304,0.07174709998071194,80,0
erdos_renyi,40,40,152,5,distributed_m2_q1k,33 37 4 10 15,19.384615384615383,18.325,1.0732064421669107,0.09849850001046434,223,10
erdos_renyi,40,40,152,5,distributed_m2_q2k,0 17 27 19 25,18.846153846153847,16.775,0.9824304538799414,0.23027449997607619,403,20
erdos_renyi,40,40,152,5,distributed_m2_q5k,37 14 35 11 34,19.153846153846153,15.075,0.8828696925329429,0.3306876000133343,613,40
erdos_renyi,40,40,152,5,distributed_m4_q1k,33 10 4 3 17,21.53846153846154,18.75,1.0980966325036603,0.09020120004424825,255,20
erdos_renyi,40,40,152,5,distributed_m4_q2k,9 15 0 2 33,19.76923076923077,18.275,1.0702781844802343,0.15843340003630146,415,40
erdos_renyi,40,40,152,5,distributed_m4_q5k,4 33 0 35 25,19.153846153846153,16.05,0.9399707174231333,0.2152932000462897,415,40
erdos_renyi,40,40,152,5,distributed_m8_q1k,17 4 20 29 33,19.076923076923077,16.4,0.9604685212298681,0.15897469996707514,319,40
erdos_renyi,40,40,152,5,distributed_m8_q2k,33 17 11 35 24,21.384615384615383,17.1,1.0014641288433384,0.1450351999956183,319,40
erdos_renyi,40,40,152,5,distributed_m8_q5k,39 3 9 10 25,20.076923076923077,15.35,0.8989751098096632,0.10734220000449568,319,40
erdos_renyi,70,70,310,6,random,48 44 55 4 45 3,18.95,19.7,0.7364485981308411,0.00226979999570176,1,0
erdos_renyi,70,70,310,6,degree,35 36 29 58 18 13,27.425,29.125,1.088785046728972,0.003322599979583174,1,0
erdos_renyi,70,70,310,6,pagerank,47 2 58 23 52 29,20.8,23.775,0.888785046728972,0.002417599956970662,1,0
erdos_renyi,70,70,310,6,greedy,57 13 20 50 26 47,26.7,26.75,1.0,0.8666489000315778,406,0
erdos_renyi,70,70,310,6,celf,34 18 21 16 65 30,24.575,26.65,0.9962616822429906,0.2823941999813542,167,0
erdos_renyi,70,70,310,6,distributed_m2_q1k,18 29 57 13 2 35,26.307692307692307,29.65,1.108411214953271,0.494696700014174,450,12
erdos_renyi,70,70,310,6,distributed_m2_q2k,69 62 29 35 16 0,26.76923076923077,24.9,0.930841121495327,0.7708507999777794,840,24
erdos_renyi,70,70,310,6,distributed_m2_q5k,35 24 12 18 64 42,30.846153846153847,27.95,1.044859813084112,1.8937704000272788,1578,60
erdos_renyi,70,70,310,6,distributed_m4_q1k,29 57 65 34 39 16,28.53846153846154,25.3,0.9457943925233645,0.40895329997874796,494,24
erdos_renyi,70,70,310,6,distributed_m4_q2k,13 20 65 23 39 24,29.53846153846154,28.25,1.0560747663551402,0.8115658999886364,854,48
erdos_renyi,70,70,310,6,distributed_m4_q5k,15 0 43 2 57 21,28.153846153846153,25.15,0.9401869158878504,0.9742862000130117,1058,70
erdos_renyi,70,70,310,6,distributed_m8_q1k,35 36 21 20 39 46,28.384615384615383,25.3,0.9457943925233645,0.43402680003782734,582,48
erdos_renyi,70,70,310,6,distributed_m8_q2k,30 29 17 52 58 1,27.692307692307693,25.375,0.9485981308411215,0.48061070003313944,756,70
erdos_renyi,70,70,310,6,distributed_m8_q5k,57 64 18 12 25 37,28.46153846153846,24.325,0.9093457943925234,0.44234300003154203,756,70
barabasi_albert,40,40,152,5,random,0 14 10 18 28,19.65,17.9,0.7782608695652173,0.0018649999983608723,1,0
barabasi_albert,40,40,152,5,degree,2 5 8 0 1,23.725,24.4,1.0608695652173912,0.002325700013898313,1,0
barabasi_albert,40,40,152,5,pagerank,2 8 10 5 28,23.05,23.075,1.0032608695652174,0.002443399978801608,1,0
barabasi_albert,40,40,152,5,greedy,5 10 0 8 1,24.5,23.0,1.0,0.36463899997761473,191,0
barabasi_albert,40,40,152,5,celf,5 0 2 8 18,21.975,21.75,0.9456521739130435,0.22502740001073107,84,0
barabasi_albert,40,40,152,5,distributed_m2_q1k,0 1 2 5 32,23.692307692307693,21.25,0.9239130434782609,0.18122110003605485,223,10
barabasi_albert,40,40,152,5,distributed_m2_q2k,2 0 10 8 7,24.46153846153846,22.2,0.9652173913043478,0.42735130002256483,403,20
barabasi_albert,40,40,152,5,distributed_m2_q5k,5 3 23 22 15,20.46153846153846,17.4,0.7565217391304347,0.42321240005549043,613,40
barabasi_albert,40,40,152,5,distributed_m4_q1k,0 5 2 14 30,23.846153846153847,20.8,0.9043478260869565,0.11332889995537698,255,20
barabasi_albert,40,40,152,5,distributed_m4_q2k,0 10 22 5 32,23.923076923076923,20.0,0.8695652173913043,0.19150790001731366,415,40
barabasi_albert,40,40,152,5,distributed_m4_q5k,0 17 2 5 20,24.0,22.35,0.9717391304347827,0.20007579994853586,415,40
barabasi_albert,40,40,152,5,distributed_m8_q1k,4 0 10 2 37,24.846153846153847,21.9,0.9521739130434782,0.11176579998573288,319,40
barabasi_albert,40,40,152,5,distributed_m8_q2k,1 0 25 35 9,21.692307692307693,16.675,0.725,0.1070975000038743,319,40
barabasi_albert,40,40,152,5,distributed_m8_q5k,4 1 9 2 5,22.923076923076923,22.3,0.9695652173913044,0.11204529996030033,319,40
barabasi_albert,70,70,402,6,random,35 10 29 69 64 62,17.95,18.775,0.5197231833910034,0.0021715000038966537,1,0
barabasi_albert,70,70,402,6,degree,0 5 2 16 6 7,36.7,37.025,1.0249134948096885,0.004921999992802739,1,0
barabasi_albert,70,70,402,6,pagerank,0 7 16 48 43 52,30.675,29.5,0.8166089965397924,0.004806699987966567,1,0
barabasi_albert,70,70,402,6,greedy,0 2 16 14 12 5,36.125,36.125,1.0,1.5621536999824457,406,0
barabasi_albert,70,70,402,6,celf,0 5 6 12 16 60,32.7,34.0,0.9411764705882353,0.4607037999667227,158,0
barabasi_albert,70,70,402,6,distributed_m2_q1k,0 7 13 45 21 61,34.61538461538461,28.225,0.7813148788927337,0.45853010000428185,450,12
barabasi_albert,70,70,402,6,distributed_m2_q2k,5 16 0 41 21 11,36.0,33.625,0.9307958477508651,1.2876552999950945,840,24
barabasi_albert,70,70,402,6,distributed_m2_q5k,0 5 11 57 32 13,36.15384615384615,30.675,0.8491349480968858,2.544400900020264,1578,60
barabasi_albert,70,70,402,6,distributed_m4_q1k,0 4 5 60 2 53,34.92307692307692,32.925,0.9114186851211072,0.45278459996916354,494,24
barabasi_albert,70,70,402,6,distributed_m4_q2k,2 58 0 3 6 56,36.30769230769231,31.7,0.8775086505190312,0.9396010999917053,854,48
barabasi_albert,70,70,402,6,distributed_m4_q5k,0 5 12 6 66 13,36.84615384615385,33.3,0.9217993079584774,1.2628079999703914,1058,70
barabasi_albert,70,70,402,6,distributed_m8_q1k,2 5 0 48 42 69,39.38461538461539,33.425,0.9252595155709342,0.5276770999771543,582,48
barabasi_albert,70,70,402,6,distributed_m8_q2k,2 0 5 35 41 34,38.23076923076923,33.025,0.9141868512110726,0.7088601000141352,756,70
barabasi_albert,70,70,402,6,distributed_m8_q5k,0 43 38 5 15 2,37.69230769230769,34.125,0.9446366782006921,0.5778571999981068,756,70
watts_strogatz,40,40,160,5,random,16 37 31 24 30,15.575,14.725,0.8700147710487444,0.001525100029539317,1,0
watts_strogatz,40,40,160,5,degree,6 13 2 29 19,18.475,18.3,1.0812407680945346,0.0017720999894663692,1,0
watts_strogatz,40,40,160,5,pagerank,2 1 6 14 16,13.775,14.125,0.8345642540620384,0.0013675999944098294,1,0
watts_strogatz,40,40,160,5,greedy,6 22 5 13 33,19.1,16.925,1.0,0.21465849998639897,191,0
watts_strogatz,40,40,160,5,celf,29 6 19 36 33,16.55,16.75,0.9896602658788773,0.08430829999269918,89,0
watts_strogatz,40,40,160,5,distributed_m2_q1k,9 6 34 5 36,15.846153846153847,14.075,0.8316100443131461,0.0802401999826543,223,10
watts_strogatz,40,40,160,5,distributed_m2_q2k,21 1 38 13 29,17.846153846153847,16.15,0.9542097488921713,0.23779699997976422,403,20
watts_strogatz,40,40,160,5,distributed_m2_q5k,22 6 33 26 36,18.153846153846153,16.725,0.9881831610044314,0.36530019994825125,613,40
watts_strogatz,40,40,160,5,distributed_m4_q1k,37 17 4 24 19,18.076923076923077,15.25,0.9010339734121122,0.09930079994956031,255,20
watts_strogatz,40,40,160,5,distributed_m4_q2k,30 13 35 10 23,19.23076923076923,16.025,0.9468242245199407,0.17252099997131154,415,40
watts_strogatz,40,40,160,5,distributed_m4_q5k,6 13 32 2 19,19.923076923076923,18.05,1.0664697193500738,0.18608779995702207,415,40
watts_strogatz,40,40,160,5,distributed_m8_q1k,5 24 6 13 17,19.153846153846153,15.875,0.9379615952732644,0.1097404999891296,319,40
watts_strogatz,40,40,160,5,distributed_m8_q2k,6 17 24 33 34,18.846153846153847,15.55,0.9187592319054653,0.10280000005150214,319,40
watts_strogatz,40,40,160,5,distributed_m8_q5k,5 22 32 1 26,20.23076923076923,15.275,0.9025110782865583,0.09941969998180866,319,40
watts_strogatz,70,70,420,6,random,8 60 0 34 51 44,21.75,18.5,1.0027100271002711,0.0027402000268921256,1,0
watts_strogatz,70,70,420,6,degree,28 19 42 46 7 69,24.575,21.7,1.1761517615176151,0.003174100012984127,1,0
watts_strogatz,70,70,420,6,pagerank,64 19 7 35 23 68,20.35,18.3,0.9918699186991871,0.002538600005209446,1,0
watts_strogatz,70,70,420,6,greedy,45 17 59 37 25 0,23.425,18.45,1.0,0.700073899992276,406,0
