graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
erdos_renyi,50,50,230,10,random,26 39 35 46 44 15 38 2 10 29,24.6,24.9,0.8593615185504745,0.0029323999769985676,1,0
erdos_renyi,50,50,230,10,degree,2 40 32 31 9 42 44 11 0 19,27.75,28.625,0.9879206212251941,0.0036668999819085,1,0
erdos_renyi,50,50,230,10,pagerank,2 18 41 9 24 49 26 32 44 23,26.525,26.9,0.9283865401207937,0.0026493000332266092,1,0
erdos_renyi,50,50,230,10,greedy,42 2 22 40 16 9 31 48 19 24,30.525,28.975,1.0,1.0571567000006326,456,0
erdos_renyi,50,50,230,10,celf,42 31 27 35 2 8 41 19 10 38,28.4,27.7,0.9559965487489214,0.406003599986434,167,0
erdos_renyi,50,50,230,10,distributed_m2_q1k,35 19 32 31 44 3 43 18 14 2,30.153846153846153,27.3,0.9421915444348576,0.39847920002648607,568,20
erdos_renyi,50,50,230,10,distributed_m2_q2k,0 40 41 45 12 19 44 18 17 7,32.07692307692308,27.825,0.9603106125970664,0.8300629000295885,978,40
erdos_renyi,50,50,230,10,distributed_m2_q5k,40 32 6 0 33 16 36 23 31 2,29.46153846153846,26.025,0.898188093183779,0.9995964000117965,1108,50
erdos_renyi,50,50,230,10,distributed_m4_q1k,32 25 12 24 44 9 49 29 46 42,30.153846153846153,26.525,0.9154443485763588,0.4886161999893375,680,40
erdos_renyi,50,50,230,10,distributed_m4_q2k,40 43 23 17 32 10 8 1 7 47,30.23076923076923,27.375,0.9447799827437445,0.6298720000195317,798,50
erdos_renyi,50,50,230,10,distributed_m4_q5k,40 11 44 2 42 24 38 30 48 17,31.153846153846153,27.125,0.9361518550474547,0.6254360000020824,798,50
erdos_renyi,50,50,230,10,distributed_m8_q1k,44 40 46 15 1 17 21 29 42 38,28.46153846153846,25.85,0.8921484037963762,0.4514787999796681,646,50
erdos_renyi,50,50,230,10,distributed_m8_q2k,35 34 7 2 38 20 41 47 23 48,31.23076923076923,26.65,0.9197584124245037,0.4357973999576643,646,50
erdos_renyi,50,50,230,10,distributed_m8_q5k,7 40 27 31 0 12 43 42 15 9,32.07692307692308,27.2,0.9387402933563416,0.4635753000038676,646,50
erdos_renyi,100,100,476,10,random,66 95 19 6 58 61 76 8 42 4,33.375,36.675,0.8140954495005549,0.004990599991288036,1,0
erdos_renyi,100,100,476,10,degree,87 41 17 15 10 56 26 81 30 98,48.5,49.575,1.1004439511653719,0.007159799977671355,1,0
erdos_renyi,100,100,476,10,pagerank,87 94 15 38 56 63 41 62 26 55,41.8,44.875,0.9961154273029967,0.005557600001338869,1,0
erdos_renyi,100,100,476,10,greedy,87 10 73 58 23 37 30 61 13 44,44.475,45.05,1.0,3.321398100000806,956,0
erdos_renyi,100,100,476,10,celf,87 17 25 57 82 6 41 4 62 98,41.475,44.525,0.98834628190899,0.6213505000341684,232,0
erdos_renyi,100,100,476,10,distributed_m2_q1k,17 87 23 13 81 78 39 36 10 26,46.07692307692308,46.0,1.021087680355161,1.2690718999947421,1068,20
erdos_renyi,100,100,476,10,distributed_m2_q2k,55 10 41 58 87 81 60 3 17 30,48.46153846153846,47.65,1.0577136514983352,3.0008671999676153,1978,40
erdos_renyi,100,100,476,10,distributed_m2_q5k,26 87 73 41 17 37 81 94 3 77,51.0,46.825,1.0394006659267483,5.842124599963427,3508,100
erdos_renyi,100,100,476,10,distributed_m4_q1k,41 87 58 10 27 45 37 66 31 71,47.15384615384615,44.375,0.9850166481687015,1.0610763000440784,1180,40
erdos_renyi,100,100,476,10,distributed_m4_q2k,68 87 17 95 24 28 51 65 25 63,43.61538461538461,39.25,0.8712541620421754,2.2923928999807686,2000,80
erdos_renyi,100,100,476,10,distributed_m4_q5k,15 81 2 10 17 87 51 31 77 58,46.15384615384615,46.025,1.0216426193118757,2.6932290999684483,2260,100
erdos_renyi,100,100,476,10,distributed_m8_q1k,87 46 58 73 4 29 77 85 64 41,44.07692307692308,42.975,0.9539400665926749,1.225533600023482,1404,80
erdos_renyi,100,100,476,10,distributed_m8_q2k,17 42 10 8 65 25 44 49 40 39,44.23076923076923,42.65,0.946725860155383,1.5274129000026733,1640,100
erdos_renyi,100,100,476,10,distributed_m8_q5k,89 96 20 41 73 37 12 18 17 66,44.23076923076923,43.5,0.9655937846836848,1.8533810999942943,1640,100
erdos_renyi,200,200,992,10,random,145 53 93 162 75 58 130 61 42 2,41.775,38.85,0.694059848146494,0.005136700056027621,1,0
erdos_renyi,200,200,992,10,degree,66 47 12 2 72 18 91 82 98 23,57.225,57.475,1.0267976775346137,0.0071712000062689185,1,0
erdos_renyi,200,200,992,10,pagerank,66 2 47 136 18 118 43 181 55 112,45.875,46.05,0.8226887003126395,0.005054199951700866,1,0
erdos_renyi,200,200,992,10,greedy,196 12 72 91 39 82 93 23 182 136,62.8,55.975,1.0,9.341855699953157,1956,0
erdos_renyi,200,200,992,10,celf,12 61 185 58 64 134 154 4 124 157,52.975,50.8,0.9075480125055828,1.243666399968788,481,0
erdos_renyi,200,200,992,10,distributed_m2_q1k,23 67 105 4 62 100 12 61 42 151,62.15384615384615,56.5,1.0093791871371147,2.7445341999991797,2068,20
erdos_renyi,200,200,992,10,distributed_m2_q2k,47 186 23 198 12 66 105 2 126 42,60.23076923076923,54.0,0.964716391246092,7.009511799959,3978,40
erdos_renyi,200,200,992,10,distributed_m2_q5k,12 0 135 131 102 22 56 98 157 117,61.69230769230769,44.8,0.8003573023671281,21.120288499980234,8508,100
erdos_renyi,200,200,992,10,distributed_m4_q1k,4 68 151 67 24 108 163 82 75 91,53.53846153846154,47.725,0.8526127735596248,2.378652100043837,2180,40
erdos_renyi,200,200,992,10,distributed_m4_q2k,17 12 100 50 18 91 0 144 43 61,60.38461538461539,50.675,0.9053148727110316,6.244320300000254,4000,80
erdos_renyi,200,200,992,10,distributed_m4_q5k,47 12 23 172 188 33 155 72 93 128,64.6923076923077,53.325,0.9526574363555159,13.603900799993426,7060,200
erdos_renyi,200,200,992,10,distributed_m8_q1k,47 182 1 128 157 175 26 91 20 165,59.53846153846154,50.7,0.905761500669942,2.615531599964015,2404,80
erdos_renyi,200,200,992,10,distributed_m8_q2k,20 99 67 185 18 23 135 77 54 167,60.53846153846154,48.575,0.8677981241625726,5.392717399983667,4044,160
